	NIW_0_MPI_1	NIW_0_MPI_2	NIW_0_MPI_3	IW_0_MPI_1	IW_0_MPI_2	IW_0_MPI_3
VIT_16s0098g00150	316	266	211	261	299	276
VIT_12s0178g00140	5	4	2	3	7	4
VIT_03s0017g02320	68	78	83	131	112	107
VIT_09s0002g00350	2777	2903	2868	2946	2149	2727
VIT_08s0007g07420	2926	2686	2308	2222	2506	2462
VIT_10s0092g00050	5189	4889	5789	4860	5627	5443
VIT_01s0011g04540	0	0	1	2	0	1
VIT_08s0007g08850	30	33	19	88	98	94
VIT_05s0029g00790	0	0	0	0	0	0
VIT_10s0003g00960	1348	834	953	810	890	964
VIT_00s0407g00050	37	50	44	30	17	30
VIT_17s0000g02600	2740	2608	2389	2830	2494	2859
VIT_10s0003g00180	475	599	388	669	870	906
VIT_12s0035g00120	0	0	0	0	0	1
VIT_13s0019g02150	72	71	57	56	59	41
VIT_11s0016g03040	1	0	2	0	0	0
VIT_00s0601g00040	62	29	31	35	61	46
VIT_09s0002g08430	363	399	366	523	448	522
VIT_18s0089g00040	134	112	106	79	152	145
VIT_01s0011g01190	0	1	0	0	1	0
VIT_05s0020g01630	237	245	248	318	278	319
VIT_03s0017g01520	0	0	0	0	0	0
VIT_03s0017g00070	0	0	0	0	0	0
VIT_16s0022g01620	414	568	597	929	253	584
VIT_00s0299g00080	404	468	336	360	444	398
VIT_02s0012g01590	20	25	22	26	39	51
VIT_06s0004g02110	32	25	24	47	52	46
VIT_11s0037g00680	3	1	1	3	4	2
VIT_06s0004g03070	1439	1486	1191	1280	1051	1221
VIT_09s0054g01420	0	0	0	0	0	0
VIT_16s0050g00850	1559	1722	1181	2022	1649	1892
VIT_05s0062g01220	393	401	382	444	420	472
VIT_00s0398g00040	1	1	0	2	0	1
VIT_05s0102g00940	3	11	2	8	10	10
VIT_18s0001g00060	1813	1555	1448	1457	1955	1864
VIT_19s0014g04920	0	1	1	1	1	0
VIT_18s0001g01740	42	15	26	195	176	178
VIT_01s0026g01100	137	156	123	92	109	101
VIT_16s0098g00820	107	195	221	179	147	179
VIT_19s0014g00500	1044	758	708	480	1128	841
VIT_05s0020g02500	377	214	175	364	455	445
VIT_18s0089g01190	260	319	260	246	272	258
VIT_17s0053g00850	25	22	18	38	44	52
VIT_05s0094g00120	859	921	793	915	806	923
VIT_00s0225g00130	22935	15830	15831	11298	20723	18388
VIT_08s0007g08880	5	9	4	10	12	4
VIT_10s0003g00680	8	2	4	3	7	9
VIT_10s0116g01920	1340	679	792	1243	1907	1763
VIT_14s0108g01060	45	67	49	50	63	66
VIT_18s0001g14150	0	1	0	0	0	0
VIT_15s0046g03240	844	1144	873	1417	1426	1483
VIT_13s0073g00290	1	0	0	1	0	0
VIT_14s0030g00880	0	0	0	0	0	1
VIT_18s0001g15100	0	0	0	0	0	0
VIT_05s0029g00870	105	77	67	103	167	153
VIT_10s0003g03770	295	335	304	285	254	311
VIT_13s0067g03400	254	285	263	443	422	445
VIT_04s0008g07050	35	48	48	43	41	67
VIT_02s0025g05120	800	874	740	446	387	472
VIT_02s0012g00630	271	313	331	366	335	349
VIT_01s0011g06320	110	133	102	114	91	90
VIT_01s0011g03830	432	423	367	409	438	422
VIT_13s0047g00600	0	0	0	1	0	0
VIT_07s0141g00270	1149	1066	835	510	1073	932
VIT_04s0008g01220	801	372	363	279	737	582
VIT_06s0009g00610	0	0	0	0	0	0
VIT_01s0026g00900	91	30	21	34	33	49
VIT_00s0199g00110	350	421	422	448	636	585
VIT_14s0081g00460	671	642	607	475	634	542
VIT_03s0063g00640	57	58	57	45	68	72
VIT_07s0151g00090	1079	1148	1000	1237	1865	1742
VIT_12s0034g00150	0	0	0	0	0	0
VIT_04s0044g02040	997	1182	1065	1153	1053	1174
VIT_02s0025g03050	603	755	657	558	551	563
VIT_19s0015g01880	15	12	15	28	35	35
VIT_07s0005g04200	20	31	28	19	15	16
VIT_14s0060g01140	1316	1322	1147	974	1180	1206
VIT_18s0117g00370	0	0	0	0	0	0
VIT_18s0041g00090	303	328	230	265	225	275
VIT_04s0008g01280	3	2	6	4	8	3
VIT_00s0207g00150	94	132	104	109	55	88
VIT_06s0009g03270	46	32	29	10	19	10
VIT_09s0002g03270	69	48	47	41	73	63
VIT_01s0010g00500	0	0	0	0	0	0
VIT_05s0029g01260	4	1	0	9	11	18
VIT_09s0002g07280	0	0	0	0	0	1
VIT_16s0050g01620	771	1099	986	1065	1037	1115
VIT_05s0077g00130	1129	1313	1250	1387	1074	1362
VIT_12s0035g00030	214	200	175	198	270	195
VIT_04s0008g01950	3413	3717	3693	2831	3615	3297
VIT_07s0191g00090	5415	5581	5358	7223	5140	6470
VIT_06s0080g00710	0	0	0	0	0	0
VIT_14s0108g01370	394	403	424	699	604	666
VIT_14s0083g00450	1092	1256	1174	1086	1151	1192
VIT_00s0380g00030	0	0	0	0	0	0
VIT_02s0012g02790	1004	1247	1199	972	871	1003
VIT_06s0061g00610	219	215	190	192	166	203
VIT_12s0028g02630	1180	1026	890	723	557	581
VIT_01s0010g02450	1	4	0	2	0	0
VIT_16s0050g02130	0	0	0	0	0	0
VIT_10s0003g02750	553	641	526	463	480	483
VIT_15s0024g00730	128	87	84	75	151	114
VIT_11s0037g00780	12	9	13	13	21	16
VIT_06s0080g00150	46	21	26	34	54	31
VIT_01s0011g02120	747	709	621	573	703	647
VIT_03s0038g00500	0	0	0	0	0	0
VIT_18s0041g02250	3	2	0	0	0	0
VIT_05s0049g01220	952	841	674	610	934	792
VIT_04s0008g01910	906	983	843	1007	975	1055
VIT_06s0004g07740	6	11	17	29	1	18
VIT_11s0052g01040	220	165	193	284	226	287
VIT_03s0097g00470	49	37	34	62	47	78
VIT_00s0211g00060	2181	2144	1938	1806	1999	2020
VIT_18s0001g15110	0	0	0	0	0	0
VIT_14s0006g02120	0	0	1	2	0	1
VIT_13s0106g00200	0	0	0	16	2	8
VIT_06s0080g01120	532	559	520	518	442	461
VIT_06s0061g00170	53	18	19	26	56	42
VIT_07s0005g01430	648	1357	1421	1254	377	854
VIT_03s0063g00220	0	0	0	0	0	0
VIT_03s0038g02770	522	496	439	418	444	444
VIT_07s0129g00290	137	134	135	182	271	241
VIT_17s0000g06670	8136	9200	9683	10717	9086	10663
VIT_02s0033g00550	148	140	149	123	139	154
VIT_06s0004g04940	969	900	776	893	1130	1085
VIT_08s0056g00820	322	369	487	269	442	343
VIT_15s0046g01120	652	890	817	631	734	705
VIT_04s0023g01570	0	0	0	0	0	0
VIT_00s0625g00020	13	2	4	6	4	10
VIT_08s0032g01190	375	473	352	250	228	273
VIT_05s0124g00360	3533	3614	3031	4161	4027	4404
VIT_07s0104g01610	450	385	385	455	578	586
VIT_18s0041g01560	14	13	23	9	18	14
VIT_14s0171g00290	3	1	1	1	0	3
VIT_05s0049g01480	5735	6183	6744	4273	5929	5524
VIT_14s0066g01520	0	0	0	0	0	0
VIT_17s0000g01040	2	2	0	0	0	1
VIT_11s0016g04660	15	32	46	24	38	33
VIT_02s0087g00510	9	5	4	10	13	9
VIT_02s0012g02720	24	13	17	10	10	12
VIT_05s0020g03670	502	577	492	602	661	640
VIT_04s0008g01530	10	13	22	49	9	26
VIT_19s0090g00570	210	216	177	154	158	147
VIT_05s0029g01110	0	0	0	1	1	2
VIT_03s0017g00690	120	91	75	67	104	88
VIT_00s0144g00220	26	21	21	20	29	25
VIT_07s0031g03130	621	705	674	376	359	424
VIT_01s0026g01890	1450	1221	1210	1230	1041	1302
VIT_18s0001g10570	8	10	3	11	9	16
