	NIW_0_MPI_1	NIW_0_MPI_2	NIW_0_MPI_3	IW_0_MPI_1	IW_0_MPI_2	IW_0_MPI_3
VIT_19s0015g01180	0	0	0	0	0	0
VIT_17s0000g00980	6633	8192	9129	9204	6825	8509
VIT_05s0136g00280	0	0	0	0	0	0
VIT_05s0094g01540	1515	1343	1371	1446	1493	1623
VIT_00s2377g00010	1313	796	1017	580	943	834
VIT_02s0033g01150	1132	1142	955	1148	1126	1190
VIT_18s0001g13660	155	216	183	188	219	204
VIT_14s0068g01720	130	131	128	67	69	80
VIT_09s0096g00130	1	4	1	1	1	2
VIT_18s0001g08590	140	117	127	34	56	44
VIT_14s0128g01020	0	0	0	0	0	0
VIT_08s0040g02090	655	564	582	644	543	652
VIT_11s0052g01800	4484	3186	3143	4516	3813	4391
VIT_19s0014g02390	1283	1366	1132	1262	1503	1426
VIT_05s0020g02210	1401	1951	1727	1595	1325	1612
VIT_04s0008g00330	226	70	57	71	121	112
VIT_05s0094g00180	4	7	5	9	12	10
VIT_05s0124g00580	132	130	129	197	244	223
VIT_01s0011g02870	510	706	686	465	461	489
VIT_01s0127g00720	3604	2397	2176	2512	4233	3603
VIT_06s0009g03150	0	0	0	0	0	0
VIT_01s0146g00300	0	0	0	0	0	0
VIT_10s0071g01040	611	783	765	811	658	783
VIT_08s0058g00610	140	152	145	133	134	128
VIT_05s0029g01100	211	269	214	177	212	185
VIT_13s0019g02050	4396	2787	2920	2638	6127	5461
VIT_14s0108g00760	0	0	1	3	5	2
VIT_18s0001g15050	619	582	575	759	696	755
VIT_14s0060g02190	210	238	227	240	253	251
VIT_06s0009g01790	374	424	382	260	320	291
VIT_00s0187g00070	0	0	0	0	0	1
VIT_17s0000g03440	309	435	450	233	187	241
VIT_06s0004g06770	8	4	3	7	3	3
VIT_00s2349g00010	644	459	344	738	631	746
VIT_02s0033g01330	5822	6254	5791	5750	6684	6406
VIT_00s0332g00020	0	0	0	0	0	0
VIT_04s0044g00020	544	655	374	1109	1732	1544
VIT_18s0089g00910	1439	1343	1211	1211	1523	1368
VIT_08s0040g02800	925	825	801	682	820	759
VIT_17s0000g09130	577	486	382	878	1022	995
VIT_09s0018g01980	2	2	2	6	0	3
VIT_17s0000g00880	574	534	538	408	473	436
VIT_01s0244g00160	34	33	32	34	40	43
VIT_14s0083g00700	2	5	3	8	3	11
VIT_18s0041g00860	0	0	0	0	0	0
VIT_03s0038g00490	770	571	376	887	869	836
VIT_19s0090g01360	559	2686	358	14441	20333	19191
VIT_00s0487g00030	146	65	59	38	37	39
VIT_04s0008g00860	888	928	803	379	648	601
VIT_17s0119g00030	306	277	235	226	244	278
VIT_12s0034g01120	36	25	23	22	31	28
VIT_07s0031g00430	0	0	0	0	0	0
VIT_16s0098g00660	2114	2773	2552	3084	2603	2973
VIT_11s0016g05370	3	3	0	2	1	2
VIT_16s0022g02420	4	1	0	1	1	5
VIT_03s0091g01200	66	177	626	480	272	426
VIT_07s0130g00070	1818	1909	1748	1887	2028	2060
VIT_19s0085g01110	757	780	569	1026	1222	1223
VIT_01s0011g00760	5	4	2	15	10	14
VIT_01s0137g00670	84	49	50	123	58	89
VIT_03s0038g00540	0	1	0	0	0	0
VIT_05s0062g00610	229	212	151	142	303	265
VIT_13s0139g00150	791	965	744	960	836	988
VIT_17s0000g07730	744	634	542	664	671	691
VIT_08s0056g01680	0	0	1	2	0	0
VIT_02s0025g02920	1	0	1	21	6	13
VIT_11s0149g00020	21	28	28	28	25	27
VIT_19s0015g02480	189	249	196	181	226	226
VIT_04s0008g00230	2	1	5	3	2	1
VIT_14s0171g00190	1139	1105	1148	908	1151	1072
VIT_14s0068g01540	104	47	70	49	74	73
VIT_19s0140g00110	1	2	6	6	3	6
VIT_18s0089g00310	1	2	0	3	1	4
VIT_08s0032g00620	632	769	700	749	715	791
VIT_02s0087g00240	107	117	133	137	115	112
VIT_01s0010g03790	3021	3231	2956	3263	2777	3270
VIT_08s0007g05250	1018	989	866	1126	1234	1282
VIT_12s0121g00410	0	0	0	0	0	0
VIT_06s0009g01950	0	0	0	0	0	0
VIT_04s0008g01170	1583	1668	1560	1778	1857	1891
VIT_05s0020g04420	533	223	169	491	350	461
VIT_10s0116g01340	0	0	0	0	0	0
VIT_04s0023g01720	98	46	45	52	121	126
VIT_07s0005g00140	4	9	9	15	13	7
VIT_05s0049g00560	0	0	0	0	0	0
VIT_02s0109g00400	0	0	0	0	0	0
VIT_06s0004g04410	535	462	395	487	408	447
VIT_19s0014g00620	179	154	104	133	186	171
VIT_01s0026g01420	611	681	562	734	424	568
VIT_02s0012g01680	694	762	608	1008	889	995
VIT_06s0004g03380	126	160	142	154	143	155
VIT_08s0058g00430	1	1	0	6	3	6
VIT_00s0230g00130	0	0	0	0	0	0
VIT_11s0037g00710	0	0	0	0	0	0
VIT_18s0001g08420	117	89	111	243	348	325
VIT_04s0008g05540	1454	1489	1181	1718	1649	1793
VIT_18s0075g00310	0	1	0	0	0	0
VIT_03s0017g01480	43	41	56	70	62	75
VIT_05s0077g02030	16	20	22	18	25	21
VIT_03s0017g00950	0	0	0	0	0	0
VIT_11s0037g00390	809	859	701	700	899	833
VIT_00s0281g00030	2	1	1	0	0	0
VIT_06s0004g03660	1187	1467	1075	1417	2036	1788
VIT_12s0028g02110	598	515	453	449	763	679
VIT_08s0040g02270	0	0	1	0	0	1
VIT_02s0087g00080	25	59	56	54	84	74
VIT_17s0000g06400	34	59	33	125	80	110
VIT_10s0003g01080	6351	6304	7512	5619	6785	6519
VIT_15s0046g01350	1099	1368	1236	1101	892	1076
VIT_11s0037g00800	1732	2013	1973	1722	1766	1831
VIT_14s0006g01790	1484	2177	1608	1841	2854	2650
VIT_18s0089g00800	12	13	20	10	3	6
VIT_18s0075g00740	5	5	7	8	8	9
VIT_05s0102g00310	7784	7412	7711	8532	9756	10066
VIT_01s0010g01410	581	650	583	431	389	475
VIT_11s0065g00080	0	0	0	0	0	0
VIT_13s0067g03040	550	509	476	474	586	589
VIT_16s0039g00380	271	302	269	676	796	735
VIT_00s0841g00020	97	86	72	71	107	101
VIT_04s0008g04280	862	713	637	865	975	1045
VIT_19s0014g04010	0	0	0	0	0	0
VIT_13s0064g01660	2071	2487	2714	3413	1727	2649
VIT_16s0100g01070	1	0	0	1	2	4
VIT_02s0012g01390	798	669	447	540	694	638
VIT_15s0024g00190	2	0	1	0	2	2
VIT_13s0139g00180	8	6	11	11	13	19
VIT_17s0000g08590	201	178	113	243	253	276
VIT_07s0005g05880	0	1	0	0	0	0
VIT_12s0035g01780	1227	1241	1243	950	1326	1286
VIT_00s0386g00060	27	21	29	28	24	32
VIT_13s0067g01350	197	227	175	425	473	483
VIT_17s0053g01050	0	0	0	0	0	0
VIT_05s0136g00090	0	0	0	0	0	0
VIT_01s0011g04910	464	599	564	686	488	656
VIT_00s0144g00190	39	31	28	16	31	31
VIT_13s0019g04100	490	496	499	278	403	348
VIT_15s0045g00620	817	720	673	496	754	699
VIT_01s0011g03190	364	363	346	391	401	418
VIT_13s0064g00950	146	107	85	141	128	118
VIT_09s0002g08160	997	1095	980	720	885	917
VIT_07s0289g00060	16	13	12	13	16	19
VIT_18s0001g02160	673	762	736	794	820	838
VIT_17s0000g01600	0	0	0	1	0	1
VIT_07s0104g00980	1	2	1	4	3	3
VIT_17s0000g08780	493	486	451	397	532	516
VIT_04s0008g05150	217	333	309	412	117	296
VIT_05s0029g00760	1	0	0	0	0	0
VIT_04s0043g00370	90	71	93	177	185	161
VIT_13s0064g01350	1782	1924	1879	1928	1974	2164
VIT_01s0011g00650	568	593	470	783	944	846
VIT_00s0373g00030	225	282	194	320	342	377
VIT_19s0177g00320	990	1104	1018	888	1283	1192
VIT_14s0068g01400	0	0	0	1	0	0
VIT_12s0028g02270	0	0	0	0	0	0
VIT_01s0011g02780	63	46	49	90	37	71
VIT_13s0158g00380	262	269	195	405	590	529
VIT_09s0002g09030	0	0	0	0	0	2
VIT_01s0011g03430	329	302	199	406	57	205
VIT_13s0067g01230	430	400	390	159	244	248
VIT_04s0008g06490	1545	1661	1596	1751	1562	1878
VIT_03s0038g03180	195	310	206	239	445	419
VIT_17s0053g00170	0	0	1	0	0	0
VIT_09s0002g04770	289	321	257	182	220	227
VIT_03s0063g00340	0	11	0	10	19	17
VIT_08s0040g00770	1195	1064	843	1155	1586	1552
VIT_02s0025g00180	1185	642	768	394	640	582
VIT_14s0068g00430	925	1111	922	1071	1118	1150
VIT_10s0003g00370	118	81	83	192	161	186
VIT_18s0001g14380	602	615	520	608	580	681
VIT_06s0004g01260	42	43	38	48	52	59
VIT_09s0002g05440	0	0	0	0	0	0
VIT_07s0005g03810	59	64	69	62	68	82
VIT_04s0023g00070	0	1	1	0	0	0
VIT_04s0008g03060	693	725	687	859	877	929
VIT_00s2045g00010	0	0	0	0	0	0
VIT_18s0041g01210	0	0	0	0	0	0
VIT_00s0510g00030	8	5	8	9	7	4
VIT_08s0040g01510	3	6	5	4	4	7
VIT_00s0230g00080	0	0	0	0	0	0
VIT_00s0838g00020	4820	4915	5938	3606	4475	4326
VIT_03s0017g00410	9	3	3	2	4	4
VIT_01s0010g00690	268	354	397	335	432	321
VIT_04s0008g04370	1202	1193	1009	1152	1234	1245
VIT_15s0021g00870	18	11	10	22	19	8
VIT_12s0055g00030	20	8	9	14	6	11
VIT_14s0066g00810	105	48	49	783	442	665
VIT_00s0259g00150	268	282	296	310	301	352
VIT_05s0062g01210	101	100	102	98	142	131
VIT_15s0024g01300	0	1	1	0	0	0
VIT_00s0484g00020	82	60	60	61	128	115
VIT_03s0110g00100	0	0	0	0	0	0
VIT_08s0040g01370	3219	2008	2239	2298	2764	2860
VIT_16s0098g01760	1229	1309	1178	878	1124	1073
VIT_15s0045g01030	0	0	0	0	0	0
VIT_12s0121g00090	8	8	3	7	5	12
VIT_07s0104g00090	2920	3317	2576	2036	1420	1971
VIT_09s0096g00300	0	0	0	0	0	0
VIT_09s0054g00110	17	4	4	7	7	2
VIT_03s0167g00220	12	22	9	6	7	9
VIT_16s0148g00220	24	21	27	14	14	25
VIT_01s0011g02830	0	0	0	0	1	0
VIT_15s0024g01330	0	0	0	0	0	0
VIT_01s0010g02440	349	364	350	225	184	230
VIT_00s0391g00030	67	105	88	161	73	124
VIT_16s0050g01770	0	0	1	0	1	1
VIT_18s0001g11490	3	1	0	31	45	49
VIT_08s0040g02260	390	432	379	491	400	486
VIT_00s2608g00010	94	73	106	504	572	559
VIT_12s0057g01260	1525	1454	1504	1024	1605	1403
VIT_16s0039g01050	0	0	0	0	0	0
VIT_19s0014g04030	0	0	0	0	0	0
VIT_15s0046g00990	1160	896	941	1223	1355	1419
VIT_01s0011g04320	184	137	123	156	272	205
VIT_17s0000g04580	0	0	0	0	0	0
VIT_08s0056g00160	1302	1495	1290	1242	1205	1236
VIT_18s0089g01110	34	45	35	26	12	31
VIT_05s0049g00400	133	158	68	230	334	276
VIT_08s0058g00970	3	10	3	36	59	37
VIT_17s0000g05920	284	238	242	264	285	339
VIT_09s0096g00270	0	2	0	0	0	0
VIT_07s0129g01030	3	5	3	2	4	8
VIT_13s0106g00040	27	8	4	12	23	17
VIT_12s0035g00420	352	296	304	232	400	335
VIT_01s0146g00020	1204	1440	1199	1558	958	1297
VIT_15s0046g01740	297	370	318	209	188	195
VIT_19s0014g03290	74	216	81	1455	681	1070
VIT_08s0007g02710	0	0	0	1	0	1
VIT_07s0005g02330	0	0	0	0	1	0
VIT_02s0025g01070	213	216	199	251	260	270
VIT_07s0005g01020	1	7	3	2	0	3
VIT_09s0002g03660	324	390	341	279	270	302
VIT_01s0011g03330	173	54	58	71	50	96
VIT_15s0021g00930	73	53	62	40	56	70
VIT_05s0124g00100	372	688	615	696	334	530
VIT_18s0001g01820	721	725	621	798	927	938
VIT_10s0116g01150	3	2	0	0	2	1
VIT_18s0075g00030	1	1	1	1	2	0
VIT_14s0068g00510	657	749	598	838	1582	1280
VIT_07s0005g04510	73	62	85	56	77	74
VIT_09s0002g00380	686	525	446	453	720	645
VIT_10s0071g00090	0	0	0	10	1	4
VIT_19s0014g04500	4	0	1	3	2	4
VIT_17s0000g06620	3	4	4	4	8	3
VIT_10s0523g00010	36	22	33	69	67	70
VIT_19s0014g01250	1784	1769	1666	1781	1665	1850
VIT_07s0005g03220	20	15	6	12	3	10
VIT_07s0005g02740	169	193	172	167	151	161
VIT_15s0046g01040	2	1	2	2	2	2
VIT_17s0000g00940	26	11	8	20	17	16
VIT_00s0373g00010	685	613	504	925	759	875
VIT_02s0025g03560	869	945	839	660	826	784
VIT_14s0083g00640	2002	1049	1385	878	775	836
VIT_15s0046g00120	1146	1128	1006	1226	1025	1156
VIT_12s0142g00250	109	68	92	261	207	219
VIT_09s0002g01130	7	5	6	5	9	3
VIT_16s0098g00290	5418	5709	5222	3450	5130	4507
VIT_15s0045g00640	2	1	0	3	2	0
VIT_05s0029g00630	131	142	94	49	110	100
VIT_07s0005g02400	487	465	534	369	531	521
VIT_00s0459g00010	11	3	4	58	46	54
VIT_12s0059g00230	791	643	493	466	701	640
VIT_13s0156g00330	27	20	11	39	54	39
VIT_07s0104g00770	163	197	187	195	205	201
VIT_16s0098g00250	8	8	4	21	21	22
VIT_07s0129g00410	2863	2684	2397	2769	2708	3094
VIT_13s0067g02810	0	0	0	0	1	0
VIT_00s0160g00210	184	176	201	119	123	127
VIT_15s0046g01680	3154	3034	2095	3300	4985	4350
VIT_00s0665g00050	63	31	37	33	57	50
VIT_14s0030g00080	1	3	1	7	6	6
VIT_09s0054g00100	10	6	2	0	8	4
VIT_06s0004g05730	304	154	169	353	367	374
VIT_09s0018g00220	0	2	1	0	0	0
VIT_10s0003g00880	594	687	522	620	425	582
VIT_13s0067g02040	60	44	38	23	40	43
VIT_06s0009g03200	101	90	88	70	86	99
VIT_10s0003g03720	448	502	464	628	503	560
VIT_04s0023g01490	74	64	79	86	47	82
VIT_19s0015g01400	1504	1474	1414	1235	1403	1432
VIT_08s0007g03370	532	487	404	269	413	373
VIT_15s0024g00510	0	0	0	0	0	0
VIT_01s0010g00540	587	587	566	518	545	513
VIT_06s0004g03670	505	583	475	732	661	747
VIT_19s0085g00810	76	66	50	87	87	93
VIT_12s0028g03350	1300	1349	1194	810	736	820
VIT_00s0532g00040	18	24	17	16	16	25
VIT_08s0056g00030	1402	1589	1738	1186	1371	1289
VIT_09s0002g01050	324	337	291	301	288	297
VIT_16s0013g00410	1	5	2	69	10	40
VIT_03s0110g00130	1	2	1	0	0	0
VIT_11s0052g01480	1018	658	665	644	940	887
VIT_04s0008g00480	121	159	172	217	242	246
VIT_15s0021g00890	233	205	201	313	212	243
VIT_13s0019g03460	0	1	0	0	0	1
VIT_05s0020g00640	1935	1891	1701	1149	1445	1439
VIT_13s0019g03920	3470	4047	3665	7001	5471	6708
VIT_18s0001g03010	2	0	0	0	0	0
VIT_06s0004g08060	0	3	0	4	0	3
VIT_09s0054g01610	310	254	216	293	276	300
VIT_01s0026g01610	417	371	282	310	328	356
VIT_03s0097g00220	0	0	0	0	1	0
VIT_00s0192g00120	0	0	0	0	0	0
VIT_05s0049g02140	1010	916	989	751	1021	891
VIT_07s0005g02730	69	146	47	77	167	111
VIT_00s0198g00120	1	0	0	0	1	1
VIT_19s0085g00540	1	0	1	1	3	2
VIT_04s0023g03760	262	535	373	578	289	436
VIT_01s0011g04960	302	221	238	181	290	235
VIT_07s0151g00990	23	20	13	9	11	14
VIT_15s0046g03650	380	378	384	467	520	533
VIT_17s0000g03460	45	48	31	74	52	60
VIT_14s0066g01140	5	3	5	3	4	4
VIT_19s0090g00100	104	82	80	99	124	109
VIT_00s1232g00010	397	437	411	280	355	326
VIT_15s0107g00070	0	0	0	0	0	0
VIT_01s0010g03310	1191	1483	1477	1219	1142	1185
VIT_13s0019g01270	115	149	153	191	179	205
VIT_18s0001g00660	684	387	358	311	885	726
VIT_19s0015g02940	115	101	108	209	341	356
VIT_07s0005g02610	3546	3159	3271	1647	3050	2484
VIT_08s0007g02340	135	113	110	128	162	124
VIT_00s0269g00120	1	1	2	5	3	1
VIT_11s0016g01310	32	50	49	35	19	26
VIT_08s0105g00530	16	31	33	52	24	40
VIT_15s0021g01930	0	2	1	3	2	3
VIT_02s0025g04720	40112	35381	27046	28724	12223	20785
VIT_07s0005g01860	42	29	18	28	45	39
VIT_14s0128g01040	0	0	0	0	0	0
VIT_14s0068g00270	916	1219	920	780	380	594
VIT_00s0238g00070	0	0	0	0	0	0
VIT_13s0158g00420	220	206	209	191	200	246
VIT_05s0020g03310	61	31	31	24	72	58
VIT_01s0137g00630	1472	1600	1477	1172	1437	1350
VIT_04s0023g03880	1007	834	830	1327	1148	1363
VIT_17s0000g03520	516	426	452	314	353	347
VIT_00s0992g00010	372	403	299	478	547	520
VIT_00s2304g00010	1	0	1	3	0	3
VIT_04s0044g00260	0	0	0	0	0	0
VIT_00s0131g00330	0	0	0	0	0	1
VIT_01s0137g00540	49	54	45	67	36	63
VIT_14s0060g00500	0	0	2	47	0	33
VIT_00s0349g00040	2	3	0	1	2	0
VIT_16s0013g02030	35	44	34	58	29	57
VIT_00s0203g00120	755	163	544	194	87	159
VIT_14s0108g00290	3	7	3	2	2	0
VIT_04s0044g00370	0	0	0	0	0	0
VIT_13s0064g00650	2314	2130	2207	1664	2624	2322
VIT_16s0100g00580	5	4	8	8	7	6
VIT_12s0035g00620	855	902	839	1059	889	952
VIT_14s0068g00890	802	674	588	665	772	771
VIT_05s0020g03470	11973	10490	9808	12963	10226	12517
VIT_16s0050g01150	144	156	165	221	55	148
VIT_00s0207g00190	51	82	51	54	63	77
VIT_04s0023g03020	1107	946	907	1001	1126	1133
VIT_15s0046g02170	54	40	56	76	36	67
VIT_18s0001g14460	691	786	808	584	787	735
VIT_12s0057g01020	3857	3229	2883	4107	5153	5127
VIT_18s0001g04220	0	0	0	0	0	0
VIT_03s0091g00520	306	287	271	357	282	316
VIT_17s0000g08920	131	134	84	120	121	152
VIT_02s0012g00060	11	6	8	7	13	7
VIT_07s0005g00810	0	0	0	0	0	0
VIT_13s0067g00270	7701	9618	10711	13061	8881	11213
VIT_17s0000g06660	303	307	270	287	181	251
VIT_05s0049g01630	0	0	0	0	0	0
VIT_04s0043g00700	2245	2168	2586	1540	2071	1857
VIT_03s0017g01910	0	0	0	0	0	0
VIT_19s0177g00110	7	7	13	8	6	3
VIT_10s0071g00590	14	18	23	15	13	14
VIT_17s0000g05910	0	0	0	0	0	0
VIT_15s0046g03140	0	0	1	0	0	0
VIT_10s0003g00110	74	81	69	103	86	101
VIT_19s0138g00140	1212	2411	1728	1645	1658	1787
VIT_13s0047g00390	0	0	0	1	0	0
VIT_16s0039g02790	15	16	15	15	13	17
VIT_00s0131g00030	9	7	3	3	4	8
VIT_12s0055g00330	232	241	216	225	190	244
VIT_00s0194g00120	28	3	7	32	10	22
VIT_05s0020g00600	4	7	0	135	7	70
VIT_03s0038g02560	181	243	264	272	198	235
VIT_07s0005g05730	0	0	1	0	2	1
VIT_16s0039g02280	202	101	78	73	134	93
VIT_10s0003g00410	72	62	46	165	53	108
VIT_08s0007g05000	1259	882	810	1456	1003	1281
VIT_17s0053g00270	0	2	0	1	2	2
VIT_10s0116g01370	0	0	0	1	0	0
VIT_17s0000g07250	66	83	68	87	101	98
VIT_00s1365g00010	669	641	626	492	319	449
VIT_00s1240g00010	0	0	0	14	0	10
VIT_09s0002g06480	45	11	16	29	40	35
VIT_00s0225g00230	0	2	1	1	0	0
VIT_05s0077g01720	38	32	32	74	66	78
VIT_00s0437g00060	0	0	0	0	0	0
VIT_09s0002g00580	0	1	2	6	0	3
VIT_19s0014g00650	4	6	3	4	7	4
VIT_09s0002g07230	0	0	0	0	0	0
VIT_07s0005g06120	0	0	0	0	0	0
VIT_16s0013g00690	0	0	0	0	0	0
VIT_15s0024g00700	908	1019	1070	1000	1007	1122
VIT_05s0102g00660	87	81	79	128	49	67
VIT_19s0015g01450	2	1	3	1	0	2
VIT_14s0066g01960	240	879	685	2308	542	1671
VIT_10s0003g02800	215	134	121	128	142	159
VIT_01s0011g02110	120	179	169	113	105	152
VIT_15s0021g02490	441	419	486	594	444	530
VIT_03s0038g02540	7	7	9	5	6	4
VIT_08s0007g07100	3	3	3	1	5	4
VIT_09s0018g00050	1	0	0	0	0	0
VIT_14s0060g00040	10	6	15	7	6	5
VIT_06s0080g00200	0	0	0	0	0	0
VIT_01s0127g00750	104	56	52	34	36	37
VIT_03s0038g03970	1690	1720	1625	1538	1655	1724
VIT_11s0016g05340	35	52	15	13	36	19
VIT_09s0018g00490	0	0	0	0	0	0
VIT_00s0274g00090	79	61	53	103	83	84
VIT_11s0149g00060	1667	1794	1391	1972	1469	1890
VIT_06s0004g03160	2527	3009	2736	3077	2605	2886
VIT_16s0050g00500	1	0	0	1	0	0
VIT_06s0004g04200	2239	2528	2317	2484	2378	2471
VIT_04s0008g01390	227	214	221	262	254	306
VIT_00s0499g00020	4053	4502	4013	5895	2131	4322
VIT_19s0014g05320	0	0	0	0	0	0
VIT_00s0246g00220	5	2	6	73	51	67
VIT_10s0003g03590	0	0	0	0	0	0
VIT_02s0154g00200	73	107	74	76	91	90
VIT_01s0011g01930	303	354	269	321	380	378
VIT_11s0016g03200	761	595	617	587	549	635
VIT_12s0142g00330	648	645	640	390	358	427
VIT_19s0014g01460	2614	2878	2604	2865	2280	2704
VIT_05s0077g00750	1300	1383	1042	1691	1454	1680
VIT_03s0017g01830	409	392	410	301	371	310
VIT_19s0090g01280	527	515	463	377	453	431
VIT_07s0005g05660	839	888	786	708	636	766
VIT_05s0094g01280	324	460	437	474	481	487
VIT_15s0045g01500	1	0	0	0	0	2
VIT_03s0038g01220	2	1	3	2	3	2
VIT_00s0454g00020	18	5	4	7	36	12
VIT_05s0020g03270	69	9	12	15	11	22
VIT_05s0094g00570	8	7	7	7	4	5
VIT_05s0051g01070	6	2	4	0	3	2
VIT_08s0007g02260	256	123	195	105	202	180
VIT_02s0025g02550	1701	1376	1470	1209	1481	1444
VIT_11s0103g00420	564	622	645	416	411	453
VIT_09s0070g00220	1	0	1	2	0	1
VIT_06s0004g05430	662	1146	503	678	1574	1282
VIT_07s0005g03390	781	1118	1077	1045	586	903
VIT_09s0002g05490	100	77	44	40	31	46
VIT_01s0010g03520	0	0	0	0	0	0
VIT_15s0021g00850	45	56	40	50	38	30
VIT_01s0011g06220	0	0	1	1	0	0
VIT_08s0056g00500	1236	1202	1035	1397	1375	1448
VIT_04s0008g00930	0	0	0	0	0	0
VIT_14s0030g00520	51	73	63	96	106	132
VIT_00s0372g00100	0	0	0	0	0	0
VIT_19s0014g01950	0	1	1	0	2	0
VIT_14s0068g00660	1281	1522	1368	1655	1535	1745
VIT_07s0005g05050	0	0	0	0	0	0
VIT_15s0046g00460	551	490	461	479	463	531
VIT_05s0062g00930	0	0	0	0	0	0
VIT_19s0085g00720	923	1006	986	852	781	885
VIT_00s2731g00010	15	16	16	21	17	10
VIT_17s0000g06940	269	174	172	315	372	367
VIT_18s0001g08290	1103	856	701	815	1383	1207
VIT_04s0079g00650	267	264	252	119	183	141
VIT_16s0013g01950	529	520	470	746	676	727
VIT_04s0023g03670	41	48	37	20	33	25
VIT_00s0160g00280	0	0	0	0	0	0
VIT_03s0097g00160	1	0	0	2	2	5
VIT_16s0022g02290	1	2	2	4	1	1
VIT_18s0001g01470	9	11	4	24	9	16
VIT_13s0019g03910	15	9	8	21	21	19
VIT_01s0026g01650	3575	4288	4508	5322	3714	4829
VIT_01s0011g02700	3	2	3	2	5	2
VIT_03s0097g00030	6	2	5	3	6	4
VIT_09s0002g05850	17	10	6	6	12	13
VIT_11s0016g01650	1	0	0	1	2	1
VIT_04s0044g01360	357	378	449	468	367	450
VIT_00s0912g00010	48	50	31	47	60	54
VIT_14s0081g00640	0	0	0	1	1	0
VIT_15s0046g00820	0	0	0	0	0	0
VIT_13s0067g03620	801	778	722	444	654	623
VIT_17s0000g00680	7	3	4	5	11	10
VIT_04s0023g00520	24	16	23	39	30	18
VIT_09s0002g08520	1	0	1	1	1	0
VIT_16s0039g00130	10	20	12	22	10	16
VIT_12s0059g01320	3728	4510	3641	4625	2696	3742
VIT_05s0062g00800	0	0	0	0	0	0
VIT_13s0074g00530	0	0	0	0	0	0
VIT_04s0008g02640	2155	1888	2084	2010	2328	2218
VIT_10s0116g00820	1313	1434	1421	752	857	861
VIT_12s0059g01930	2178	2114	1907	2066	2262	2360
VIT_18s0001g00360	5105	6511	2672	10240	9456	10547
VIT_01s0026g01670	0	0	0	0	1	1
VIT_05s0102g00780	1	4	1	2	4	5
VIT_13s0156g00060	1720	1705	1567	1941	1748	2009
VIT_00s0231g00030	0	0	0	0	0	0
VIT_14s0036g00070	54	56	44	44	68	50
VIT_19s0014g02980	717	536	471	433	708	654
VIT_07s0031g00850	190	337	273	300	217	249
VIT_10s0092g00250	206	159	130	173	199	191
VIT_05s0094g00550	25	24	25	14	26	18
VIT_15s0046g00210	0	0	0	0	0	0
VIT_05s0077g00420	0	0	0	0	0	0
VIT_07s0031g03090	829	467	424	765	968	924
VIT_19s0090g01670	9	4	4	13	9	11
VIT_04s0069g00200	0	0	0	0	0	1
VIT_06s0004g07930	144	309	337	236	432	397
VIT_14s0036g00080	0	0	0	0	0	0
VIT_18s0001g07240	6732	7347	7025	6744	7254	7735
VIT_04s0069g00770	1268	867	762	623	1067	962
VIT_19s0085g00170	0	1	0	0	0	0
VIT_07s0005g02100	1851	1953	1655	1842	1407	1629
VIT_00s0275g00010	6	2	11	95	98	113
VIT_18s0001g06370	5392	5584	5435	3426	5637	4930
VIT_08s0007g02810	117	53	79	98	70	89
VIT_12s0059g02100	0	0	0	0	0	0
VIT_14s0060g01550	1943	1972	1837	2538	2644	2805
VIT_05s0077g01520	0	0	0	0	0	0
VIT_08s0040g00840	216	223	206	268	236	276
VIT_08s0007g05470	3	6	2	4	2	8
VIT_01s0011g05630	2137	2073	1870	1749	2154	2229
VIT_01s0026g02270	48	69	40	76	109	112
VIT_07s0005g00160	198	217	162	182	191	199
VIT_04s0008g01030	315	289	232	270	287	338
VIT_19s0015g02260	0	0	0	0	0	0
VIT_06s0009g00930	0	0	0	0	0	0
VIT_18s0001g05680	2874	2296	2258	2736	3270	3364
VIT_02s0025g00980	87	67	54	60	150	136
VIT_18s0075g00510	285	272	291	212	235	224
VIT_19s0027g00350	366	402	460	509	506	529
VIT_06s0004g03470	290	450	335	314	156	259
VIT_12s0028g03210	184	268	170	265	290	292
VIT_00s0603g00010	0	0	0	0	0	0
VIT_14s0128g00630	0	0	0	0	0	0
VIT_12s0057g00430	6	1	3	3	3	3
VIT_16s0098g00120	11	10	12	12	24	28
VIT_01s0010g01320	1	0	1	4	2	4
VIT_13s0101g00090	787	711	810	494	600	612
VIT_11s0016g01510	29	49	49	30	23	25
VIT_14s0066g00470	209	278	162	377	470	438
VIT_00s0179g00150	776	331	510	539	465	586
VIT_14s0006g03280	1784	1669	1468	1778	1961	1846
VIT_07s0104g00640	69	52	61	91	98	93
VIT_14s0006g01690	0	0	0	0	0	0
VIT_13s0139g00060	0	0	0	0	0	0
VIT_16s0115g00210	0	0	0	1	1	1
VIT_08s0007g07630	178	168	150	339	255	303
VIT_10s0003g01650	135	49	29	88	39	64
VIT_03s0038g04160	56	20	23	90	69	102
VIT_14s0060g02430	276	378	322	359	583	530
VIT_18s0001g09450	1731	1775	1587	1537	899	1282
VIT_07s0197g00250	74	48	42	41	59	60
VIT_18s0001g06840	287	114	64	338	1405	941
VIT_11s0052g01210	5	2	1	1	4	1
VIT_11s0016g01280	16	20	29	21	12	16
VIT_15s0024g01340	0	0	1	0	0	2
VIT_18s0001g05000	0	0	0	0	0	0
